" and "," и "
"Distributed under GNU LGPL. See %s for details.","Распространяется под лицензией GNU LGPL. Смотрите %s для подробностей."
"Done By:","Обработан:"
"Done by:","Обработан:"
"Download Remote File","Скачать удаленный файла"
"Drag to move","Тяните, чтобы переместить"
"Edit Role","Редактирование роли"
"Edit User '%s'","Редактировать пользователя '%s'"
"Email","Эл. почта"
"Email Preview","Предпросмотр Email"
"Email:","Email:"
"Enclose Values In:","Заключить значения в:"
"Entity type:","Тип сущности"
"Excl. Tax","Без налогов"
"Exclude","Исключить"
"Expiration Date","Дата истечения срока действия"
"Expiration Date: %s/%s","Дата истечения срока действия: %s/%s"
"Export","Экспорт"
"Export Filters","Экспортировать фильтры"
"Export to:","Экспорт в:"
"Export:","Экспорт:"
"Extension","Расширение"
"Extensions","Расширения"
"FTP Host[:Port]","Ftp хост[:порт]"
"Field Mapping","Поле картографии"
"File Information","Файл информации"
"File name:","Имя файла:"
"Final Price","Конечная цена"
"First Name:","Имя:"
"For latest version visit: %s","Последняя версия доступна здесь: %s"
"From","От"
"General Settings","Общие настройки"
"Get help for this page","Получить помощь для данной страницы"
"Global Record Search","Глобальный поиск записи"
"Go Today","Сегодня"
"Google Base Items","Товары Google Base"
"Group:","Группы:"
"Help Us Keep Magento Healthy - Report All Bugs","Помогите сделать Magento еще лучше - сообщайте о всех ошибках"
"Ignore","Игнорировать"
"Images","Изображения"
"Import","Импорт"
"Import Service","Импорт услуг"
"In Database:","В базе данных:"
"In File:","В файл:"
"Inactive","Неактивно"
"Incl. Tax","С налогами"
"Include","Включить"
"Installed As","Установлено как:"
"Interactive","Интерактивно"
"Interface Locale: %s","Язык интерфейса: %s"
"Invalid webservice adapter specified","Неправильно указан адаптер веб-сервиса"
"Invalid webservice handler specified","Неверный указатель веб-сервиса"
"Invoice History","История платежей"
"Invoice Totals","Сумма оплаты"
"Issue Number","Номер выпуска"
"Issuer: %s","Эмитент: %s"
"Last 5 Orders","Последние 5 заказов"
"Last 5 Search Terms","Последние 5 условий поиска"
"Last Logged In (%s):","Последний вход (%s):"
"Last Logged In:","Последний вход в систему:"
"Last Name:","Фамилия:"
"Latest Message:","Последнее сообщение:"
"Leave empty to use tax identifier","Оставьте пустым для идентификатора налога"
"Level","Уровень"
"License:","Лицензия:"
"Loading...","Загрузка ..."
"Local Server","Локальный сервер"
"Local/Remote Server","Локальный/удаленный сервер"
"Log Out","Выйти"
"Logged in as %s","В системе как %s"
"MS Excel XML","MS Excel XML"
"Magento Core Api","Magento Core Api"
"Magento Core Api Section","Раздел Magento Core Api"
"Magento Logo","Логотип Magento"
"Magento ver. %s","Magento вер.  %s"
"Magento&trade; is a trademark of Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc.","Magento&trade;является зарегистрированной торговой маркой Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc."
"Maintainers","Мейнтейнеры"
"Manage Stores","Управление магазинами"
"Max","Максимум"
"Min","Минимум"
"N/A","Отсутствует"
"Name","Название"
"Name on Card","Название карты"
"Name on the Card: %s","Название на карте: %s"
"Name:","Имя:"
"Next month (hold for menu)","Следующий месяц (придержите для меню)"
"Next page","Следующая страница"
"Next year (hold for menu)","Следующий год (придержите для меню)"
"No","Нет"
"No Data Found","Данных не найдено"
"No search keywords.","Нет ключевых слов для поиска."
"Note:","Замечание:"
"Notes:","Примечания:"
"Number of records:","Количество записей:"
"Old rate:","Старая ставка:"
"Only mapped fields","Только мэппированные поля"
"Order Totals","Итоги по заказу"
"Order confirmation email not sent","Email о подтверждении заказа не отправлен"
"Order confirmation email sent","Email о подтверждении заказа отправлен"
"Original Magento attribute names in first row:","Оригинальные имена атрибутов Magento в первой строке:"
"Package","Пакет"
"Package Information","Информация пакета"
"Packages","Пакеты"
"Page","Страница"
"Passive mode","Пассивный режим"
"Password","Пароль"
"Path","Путь"
"Path:","Путь:"
"PayPal Email","Адрес эл. почты аккаунта PayPal"
"Personal Information","Личная информация"
"Phone:","Телефон:"
"Please confirm site switching. All data that hasn\'t been saved will be lost.","Пожалуйста, подтвердите переход на другой сайт. Все несохраненные данные будут потеряны."
"Please enter 6 or more characters.","Пожалуйста, введите 6 или более символов."
"Please enter a number greater than 0 in this field.","Введите число больше 0 в этом поле"
"Please enter a valid $ amount. For example $100.00.","Пожалуйста, введите сумму, например 100,00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Пожалуйста, введите URL. Например, http://www.example.com или www.example.com"
"Please enter a valid URL. http:// is required","Пожалуйста, введите URL. http:// обязательно"
"Please enter a valid credit card number.","Пожалуйста, введите правильный номер кредитной карты."
"Please enter a valid date.","Пожалуйста, введите правильную дату."
"Please enter a valid email address. For example johndoe@domain.com.","Пожалуйста, введите правильный адрес электронной почты. Например johndoe@domain.com."
"Please enter a valid number in this field.","Пожалуйста, введите правильное число в этом поле."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Пожалуйста, введите верный номер телефона. Например (123) 456-7890 или 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Пожалуйста, введите правильный номер социального страхования. Например 123-45-6789."
"Please enter a valid value from list","Введите значение из списка"
"Please enter a valid value, ex: 10,20,30","Введите правильное значение, напр. 10,20,30"
"Please enter a valid zip code.","Пожалуйста, введите правильный почтовый индекс."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Пожалуйста, введите правильный почтовый индекс. Например, 196000"
"Please enter valid password.","Пожалуйста, введите правильный пароль."
"Please make sure that your changes were saved before running the profile.","Пожалуйста, убедитесь, что ваши изменения были сохранены перед запуском профиля."
"Please make sure your passwords match.","Пожалуйста, убедитесь, что ваши пароли совпадают."
"Please select State/Province.","Выберите штат/провинцию."
"Please select an option.","Пожалуйста, выберите один вариант."
"Please select one of the above options.","Пожалуйста, выберите один из вышеуказанных вариантов."
"Please select one of the options.","Пожалуйста, выберите один из вариантов."
"Please use in this field only ""a-z,0-9,_"".","Пожалуйста,используйте в поле только символы ""a-я,0-9,_""."
"Please use letters only (a-z) in this field.","Пожалуйста, используйте только буквы (a-z) в этом поле."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Пожалуйста, используйте только цифры в этом поле. Пожалуйста, избегайте использование пробелов или других символов, таких как точки и запятые."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Пожалуйста, используйте только буквы (a-z) или цифры (0-9) в этом поле. Пробелы или другие символы не допускаются."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Пожалуйста, используйте только буквы (a-z) или цифры (0-9) в этом поле. Допускаются пробелы и #"
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Пожалуйста, используйте этот формат даты: дд/мм/гггг. Например 17/03/2006 для 17 марта 2006 года."
"Please wait, loading...","Подождите, идет загрузка ..."
"Prev. month (hold for menu)","Пред. Месяц (hold for menu)"
"Prev. year (hold for menu)","Пред. Год (hold for menu)"
"Previous page","Предыдущая страница"
"Price","Цена"
"Primary Billing Address","Основы платежный адрес"
"Product","Товар"
"Products","Товары"
"Profile Information","Информация профиля"
"Provided Files","Предоставляемые файлы"
"Qty","Кол-во"
"Read details","Прочитать подробнее"
"Recommended","Рекомендуем"
"Remote FTP","Удаленный FTP"
"Remote URL:","Удаленный URL:"
"Resource Access","Доступ к ресурсу"
"Resources","Ресурсы"
"Role","Роль"
"Role Users","Пользователи роли"
"Roles","Роли"
"Roles Resources","Ресурсы ролей"
"SKU","Артикул"
"SKU:","SKU:"
"Select All","Выбрать все"
"Select Date","Выберите дату"
"Select Range","Выбрать промежуток"
"Select Visible","Выбор видимых"
"Select date","Выбрать дату"
"Shipment Comments","Комментарии к доставке"
"Shipment History","История отгрузки"
"Shipping Address","Адрес доставки"
"Shipping address selection is not applicable","Выбор адреса доставки недоступен"
"Shipping method selection is not applicable","Выбор способа доставки недоступен"
"Show Report for","Показать отчет для"
"Show by","Показать в"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Некоторые товары в этом заказе имеют разные номера счёта и способ доставки. Мы можете задать способ доставки только после составления счёта."
"Sort Order","Порядок сортировки"
"Spreadsheet Name:","Название таблицы:"
"Start Date","Дата начала"
"State/Province:","Штат/провинция:"
"Status","Состояние"
"Status:","Статус:"
"Stock Quantity:","Количество в магазине:"
"Store:","Магазин:"
"Subpackage","Подпакет"
"Subpackages","Подпакеты"
"Summary:","Итог:"
"Switch/Solo Only","Switch/Solo только"
"Switch/Solo card issue number: %s","Номер карты Switch/Solo(Великобритания): %s"
"Switch/Solo card start Date: %s/%s","Дата карты Switch/Solo(Великобритания): %s/%s"
"Switch/Solo/Maestro(UK Domestic) Only","Только расчётные карты Switch/Solo/Maestro(Великобритания)"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Номер карты Switch/Solo/Maestro(Великобритания): %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Дата карты Switch/Solo/Maestro(Великобритания): %s/%s"
"The information in this tab has been changed.","Информация в этой вкладке была изменена."
"This is a required field.","Это поле обязательно для заполнения."
"This tab contains invalid data. Please solve the problem before saving.","На этой вкладке содержатся неверные данные. Просьба решить проблему перед сохранением."
"Thumbnail","Мини-изображение"
"Time selection:","Выбрать время:"
"Time:","Время:"
"To","до"
"Top 5 Search Terms","5 популярных условий поиска"
"Total %d records found","Всего найдено %d записей"
"Track order","Отследить заказ"
"Track this shipment","Отслеживать эту поставку"
"Type","Тип"
"Type:","Тип:"
"Unable to login.","Невозможно войти."
"Unselect All","Снять все"
"Unselect Visible","Снять выбор с видимых"
"Upgrade All Available Packages","Обновить все возможные пакеты"
"Upload Local File","Загрузить локальный файл"
"Upload local file:","Загрузить локальный файл:"
"Use Default Value","Использование значение по умолчанию"
"User","Пользователь"
"User Name","Имя пользователя"
"User Roles","Роли пользователя"
"User name","Имя пользователя"
"Users","Пользователи"
"Value Delimiter:","Значение разделителя:"
"Version:","Версия:"
"View","Cмотреть"
"View Statistics for","Просмотр статистики для"
"Visibility:","Видимость:"
"Warning! Empty value can cause problems with CSV format.","Внимание! Пустые значения могут вызывать проблемы в CSV формате."
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","Внимание!\r\n Это действие удалит этого пользователя из уже присвоеных ролей \r\n Вы уверены?"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","Внимание!\r\n Это действие удалит этих пользователей из уже присвоеных ролей\r\n Вы уверены?"
"Web Services","Веб сервисы"
"Web Services Configuration","Конфигурация веб-сервисов"
"What is this?","Что это?"
"Yes","Да"
"You have","У вас есть"
"Your Account has been deactivated.","Ваша учетная запись была отключена."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","Настройки PHP разрешают одновременную загрузку не более чем %s файлов. Измените настройки post_max_size (сейчас =  %s) и upload_max_filesize (сейчас = %s) в php.ini, если Вы хотите загружать файлы ещё большего размера."
"Zip/Postal Code:","Почтовый индекс:"
"critical","критично"
"images/logo.gif","images/logo.gif"
"items selected","Выбранные пункты"
"major","важно(е)"
"md5sum","md5sum"
"minor","обычно(е)"
"notice","уведом."
"of %s pages","Из %s страниц"
"per page","на странице"
"to","до"
